,name,params,nzparams,sparsity,skip_count
0,conv1,2048,1792,12.0,False
1,bn1,16,14,12.0,True
2,conv2,1024,896,12.0,False
3,bn2,16,14,12.0,True
4,conv3,2048,1856,9.0,False
5,bn3,32,29,9.0,True
6,conv4,8192,7424,9.0,False
7,bn4,64,58,9.0,True
8,fc1,192,192,0.0,False
